,p_5,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95
0,0.38,0.4,0.42000000000000004,0.44,0.45,0.47000000000000003,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.53,0.54,0.56,0.5800000000000001,0.6,0.62
1,0.38,0.4,0.42000000000000004,0.44,0.45,0.47000000000000003,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.53,0.54,0.56,0.5800000000000001,0.6,0.62
2,0.38,0.4,0.42000000000000004,0.44,0.45,0.47000000000000003,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.53,0.54,0.56,0.5800000000000001,0.6,0.62
3,0.38,0.4,0.42000000000000004,0.44,0.45,0.47000000000000003,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.53,0.54,0.56,0.5800000000000001,0.6,0.62
4,0.38,0.4,0.42000000000000004,0.44,0.45,0.47000000000000003,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.53,0.54,0.56,0.5800000000000001,0.6,0.62
5,0.38,0.4,0.42000000000000004,0.44,0.45,0.47000000000000003,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.53,0.54,0.56,0.5800000000000001,0.6,0.6204999999999995
6,0.38,0.4,0.42000000000000004,0.44,0.45,0.47000000000000003,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.53,0.54,0.56,0.5800000000000001,0.6,0.63
7,0.38,0.4,0.42000000000000004,0.43,0.45,0.4669999999999999,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.53,0.54,0.56,0.5800000000000001,0.6,0.63
8,0.38,0.4,0.42000000000000004,0.43,0.45,0.46,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.63
9,0.38,0.4,0.42000000000000004,0.43,0.45,0.46,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.63
10,0.38,0.4,0.42000000000000004,0.43,0.45,0.46,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.63
11,0.38,0.4,0.42000000000000004,0.43,0.45,0.46,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.6304999999999995
12,0.38,0.4,0.42000000000000004,0.43,0.44,0.46,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.64
13,0.37950000000000006,0.4,0.42000000000000004,0.43,0.44,0.46,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.53,0.55,0.5620000000000005,0.5800000000000001,0.6,0.64
14,0.37,0.3990000000000001,0.42000000000000004,0.43,0.44,0.45,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.53,0.55,0.5700000000000001,0.5800000000000001,0.6,0.64
15,0.37,0.3990000000000001,0.41000000000000003,0.43,0.44,0.45,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.5329999999999996,0.55,0.5700000000000001,0.5800000000000001,0.6,0.64
16,0.37,0.3990000000000001,0.41000000000000003,0.43,0.44,0.45,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.5700000000000001,0.5800000000000001,0.6,0.64
17,0.37,0.39,0.41000000000000003,0.43,0.44,0.45,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.5329999999999996,0.55,0.5700000000000001,0.5800000000000001,0.6,0.64
18,0.37,0.39,0.41000000000000003,0.43,0.44,0.45,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.5700000000000001,0.5800000000000001,0.6,0.64
19,0.37,0.39,0.41000000000000003,0.43,0.44,0.45,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.5700000000000001,0.5800000000000001,0.6,0.64
20,0.36950000000000005,0.39,0.41000000000000003,0.43,0.44,0.45,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.5700000000000001,0.5800000000000001,0.6,0.64
21,0.36000000000000004,0.39,0.4085,0.4280000000000001,0.44,0.45,0.47000000000000003,0.47000000000000003,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.5700000000000001,0.5800000000000001,0.6,0.64
22,0.36000000000000004,0.39,0.4,0.42000000000000004,0.44,0.45,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.5700000000000001,0.5800000000000001,0.6,0.64
23,0.36000000000000004,0.39,0.4,0.42000000000000004,0.44,0.45,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.5700000000000001,0.5800000000000001,0.6,0.64
24,0.36000000000000004,0.39,0.4,0.42000000000000004,0.44,0.45,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.5700000000000001,0.5800000000000001,0.6,0.64
25,0.36000000000000004,0.38900000000000007,0.4,0.42000000000000004,0.44,0.45,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.5700000000000001,0.5800000000000001,0.61,0.64
26,0.36000000000000004,0.38900000000000007,0.4,0.42000000000000004,0.43,0.45,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.53,0.53,0.54,0.5525,0.5700000000000001,0.5814999999999998,0.6010000000000002,0.64
27,0.36000000000000004,0.38900000000000007,0.4,0.42000000000000004,0.43,0.45,0.47000000000000003,0.48000000000000004,0.49,0.5,0.51,0.5239999999999998,0.53,0.54,0.56,0.5800000000000001,0.5814999999999998,0.61,0.64
28,0.36000000000000004,0.38,0.4,0.42000000000000004,0.43,0.45,0.47000000000000003,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.54,0.56,0.5720000000000005,0.59,0.61,0.64
29,0.3595000000000001,0.38,0.4,0.42000000000000004,0.43,0.45,0.47000000000000003,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.54,0.56,0.5720000000000005,0.59,0.61,0.64
30,0.35000000000000003,0.38,0.4,0.42000000000000004,0.43,0.45,0.47000000000000003,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.5429999999999996,0.56,0.5700000000000001,0.59,0.61,0.64
31,0.35000000000000003,0.38,0.4,0.42000000000000004,0.43,0.45,0.47000000000000003,0.47600000000000026,0.49,0.5,0.51,0.53,0.53,0.54,0.56,0.5700000000000001,0.59,0.61,0.6404999999999995
32,0.35000000000000003,0.38,0.4,0.42000000000000004,0.43,0.45,0.47000000000000003,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.54,0.56,0.5700000000000001,0.59,0.61,0.6404999999999995
33,0.35000000000000003,0.38,0.4,0.42000000000000004,0.4375,0.45,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.54,0.56,0.5700000000000001,0.6,0.61,0.6404999999999995
34,0.35000000000000003,0.38,0.4,0.42000000000000004,0.43,0.45,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.54,0.56,0.5700000000000001,0.6,0.61,0.65
35,0.35000000000000003,0.38,0.4,0.42000000000000004,0.43,0.45,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.54,0.56,0.5700000000000001,0.6,0.61,0.6404999999999995
36,0.35000000000000003,0.38,0.4,0.42000000000000004,0.43,0.45,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.54,0.56,0.5800000000000001,0.6,0.61,0.6404999999999995
37,0.35000000000000003,0.38,0.4,0.42000000000000004,0.43,0.45,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.61,0.65
